matchday,date,game
1,2017-10-29,1 vs 3
1,2017-10-29,4 vs 19
1,2017-10-29,9 vs 8
1,2017-10-29,11 vs 5
1,2017-10-29,13 vs 7
1,2017-10-29,14 vs 6
1,2017-10-29,15 vs 17
1,2017-10-29,16 vs 2
1,2017-10-29,18 vs 10
1,2017-10-29,20 vs 12
2,2017-11-01,2 vs 7
2,2017-11-01,5 vs 11
2,2017-11-01,9 vs 14
2,2017-11-01,10 vs 8
2,2017-11-01,19 vs 15
2,2017-11-02,1 vs 4
2,2017-11-02,6 vs 17
2,2017-11-02,13 vs 12
2,2017-11-02,16 vs 18
2,2017-11-02,20 vs 3
3,2017-11-03,1 vs 11
3,2017-11-03,3 vs 13
3,2017-11-03,14 vs 7
3,2017-11-03,18 vs 2
3,2017-11-03,20 vs 6
3,2017-11-04,8 vs 17
3,2017-11-04,12 vs 10
3,2017-11-04,19 vs 5
3,2017-11-05,4 vs 15
3,2017-11-05,9 vs 16
4,2017-11-06,1 vs 5
4,2017-11-06,2 vs 6
4,2017-11-06,7 vs 19
4,2017-11-06,8 vs 9
4,2017-11-06,10 vs 4
4,2017-11-06,11 vs 16
4,2017-11-06,12 vs 3
4,2017-11-06,15 vs 14
4,2017-11-06,17 vs 18
4,2017-11-06,20 vs 13
5,2017-11-08,2 vs 11
5,2017-11-08,3 vs 6
5,2017-11-08,5 vs 7
5,2017-11-08,8 vs 1
5,2017-11-08,13 vs 9
5,2017-11-08,14 vs 12
5,2017-11-08,15 vs 10
5,2017-11-08,16 vs 20
5,2017-11-08,17 vs 4
5,2017-11-08,19 vs 18
6,2017-11-11,3 vs 12
6,2017-11-11,6 vs 4
6,2017-11-11,7 vs 15
6,2017-11-11,8 vs 18
6,2017-11-11,9 vs 2
6,2017-11-11,10 vs 16
6,2017-11-11,11 vs 1
6,2017-11-11,14 vs 17
6,2017-11-11,19 vs 13
6,2017-11-11,20 vs 5
7,2017-11-13,1 vs 10
7,2017-11-13,2 vs 4
7,2017-11-13,5 vs 14
7,2017-11-13,7 vs 8
7,2017-11-13,9 vs 6
7,2017-11-13,11 vs 19
7,2017-11-13,13 vs 3
7,2017-11-13,15 vs 20
7,2017-11-13,16 vs 12
7,2017-11-13,18 vs 17
8,2017-11-15,2 vs 15
8,2017-11-15,3 vs 1
8,2017-11-15,4 vs 7
8,2017-11-15,5 vs 6
8,2017-11-15,8 vs 13
8,2017-11-15,11 vs 10
8,2017-11-15,16 vs 14
8,2017-11-15,18 vs 9
8,2017-11-15,19 vs 12
8,2017-11-15,20 vs 17
9,2017-11-18,1 vs 18
9,2017-11-18,4 vs 8
9,2017-11-18,5 vs 3
9,2017-11-18,7 vs 2
9,2017-11-18,10 vs 20
9,2017-11-18,12 vs 19
9,2017-11-18,13 vs 11
9,2017-11-18,14 vs 9
9,2017-11-18,15 vs 6
9,2017-11-18,17 vs 16
10,2017-11-29,4 vs 5
10,2017-11-29,6 vs 1
10,2017-11-29,9 vs 15
10,2017-11-29,10 vs 13
10,2017-11-29,12 vs 18
10,2017-11-29,19 vs 11
10,2017-11-29,20 vs 16
10,2017-12-01,2 vs 14
10,2017-12-01,8 vs 3
10,2017-12-01,17 vs 7
11,2017-11-30,4 vs 11
11,2017-11-30,18 vs 15
11,2017-11-30,20 vs 19
11,2017-12-02,1 vs 6
11,2017-12-02,2 vs 12
11,2017-12-02,3 vs 9
11,2017-12-02,5 vs 13
11,2017-12-02,7 vs 14
11,2017-12-02,8 vs 10
11,2017-12-02,16 vs 17
12,2017-12-07,3 vs 8
12,2017-12-07,6 vs 2
12,2017-12-07,7 vs 11
12,2017-12-07,12 vs 5
12,2017-12-07,14 vs 1
12,2017-12-07,16 vs 10
12,2017-12-07,17 vs 9
12,2017-12-07,18 vs 13
12,2017-12-07,19 vs 4
12,2017-12-07,20 vs 15
13,2017-12-08,1 vs 20
13,2017-12-08,6 vs 10
13,2017-12-08,9 vs 7
13,2017-12-08,11 vs 13
13,2017-12-08,12 vs 4
13,2017-12-08,14 vs 8
13,2017-12-08,15 vs 18
13,2017-12-08,16 vs 3
13,2017-12-08,17 vs 5
13,2017-12-08,19 vs 2
14,2017-12-11,3 vs 14
14,2017-12-11,4 vs 2
14,2017-12-11,5 vs 15
14,2017-12-11,7 vs 9
14,2017-12-11,10 vs 1
14,2017-12-11,11 vs 8
14,2017-12-11,12 vs 20
14,2017-12-11,13 vs 6
14,2017-12-11,18 vs 16
14,2017-12-11,19 vs 17
15,2017-12-14,2 vs 5
15,2017-12-14,8 vs 4
15,2017-12-14,11 vs 20
15,2017-12-14,12 vs 1
15,2017-12-14,13 vs 14
15,2017-12-14,15 vs 3
15,2017-12-14,16 vs 9
15,2017-12-14,17 vs 6
15,2017-12-14,18 vs 7
15,2017-12-14,19 vs 10
16,2017-12-17,1 vs 7
16,2017-12-17,2 vs 3
16,2017-12-17,6 vs 8
16,2017-12-17,9 vs 11
16,2017-12-17,10 vs 12
16,2017-12-17,14 vs 19
16,2017-12-17,16 vs 15
16,2017-12-17,17 vs 13
16,2017-12-17,18 vs 5
16,2017-12-17,20 vs 4
17,2017-12-18,1 vs 19
17,2017-12-18,2 vs 18
17,2017-12-18,5 vs 4
17,2017-12-18,7 vs 17
17,2017-12-18,8 vs 20
17,2017-12-18,10 vs 9
17,2017-12-18,11 vs 3
17,2017-12-18,12 vs 6
17,2017-12-18,13 vs 15
17,2017-12-18,14 vs 16
18,2017-12-19,2 vs 17
18,2017-12-19,3 vs 15
18,2017-12-19,5 vs 10
18,2017-12-19,6 vs 12
18,2017-12-19,8 vs 14
18,2017-12-19,9 vs 18
18,2017-12-19,11 vs 7
18,2017-12-19,13 vs 4
18,2017-12-19,19 vs 16
18,2017-12-19,20 vs 1
19,2017-12-21,4 vs 1
19,2017-12-21,9 vs 12
19,2017-12-21,10 vs 11
19,2017-12-21,13 vs 20
19,2017-12-21,14 vs 18
19,2017-12-21,15 vs 19
19,2017-12-21,16 vs 5
19,2017-12-21,17 vs 8
19,2017-12-24,3 vs 2
19,2017-12-24,6 vs 7
20,2017-12-22,5 vs 19
20,2017-12-22,12 vs 13
20,2017-12-22,14 vs 10
20,2017-12-22,15 vs 8
20,2017-12-22,16 vs 1
20,2017-12-22,20 vs 18
20,2017-12-25,2 vs 9
20,2017-12-25,7 vs 3
20,2017-12-25,17 vs 11
20,2017-12-26,4 vs 6
21,2017-12-25,20 vs 10
21,2017-12-28,1 vs 14
21,2017-12-28,2 vs 8
21,2017-12-28,3 vs 4
21,2017-12-28,6 vs 16
21,2017-12-28,11 vs 9
21,2017-12-28,12 vs 7
21,2017-12-28,13 vs 17
21,2017-12-28,15 vs 5
21,2017-12-28,18 vs 19
22,2017-12-29,7 vs 1
22,2017-12-29,8 vs 19
22,2017-12-29,10 vs 2
22,2017-12-29,18 vs 3
22,2017-12-31,4 vs 20
22,2017-12-31,5 vs 16
22,2017-12-31,6 vs 13
22,2017-12-31,9 vs 17
22,2017-12-31,14 vs 11
22,2017-12-31,15 vs 12
23,2018-01-01,1 vs 16
23,2018-01-01,4 vs 12
23,2018-01-01,5 vs 17
23,2018-01-01,6 vs 14
23,2018-01-01,9 vs 3
23,2018-01-01,10 vs 7
23,2018-01-01,11 vs 15
23,2018-01-01,13 vs 2
23,2018-01-01,18 vs 8
23,2018-01-01,19 vs 20
24,2018-01-02,2 vs 20
24,2018-01-02,9 vs 1
24,2018-01-02,15 vs 4
24,2018-01-02,16 vs 7
24,2018-01-02,17 vs 10
24,2018-01-02,19 vs 6
24,2018-01-05,8 vs 11
24,2018-01-05,12 vs 14
24,2018-01-05,13 vs 18
24,2018-01-06,3 vs 5
25,2018-01-05,17 vs 19
25,2018-01-06,1 vs 9
25,2018-01-06,6 vs 15
25,2018-01-06,12 vs 8
25,2018-01-07,2 vs 13
25,2018-01-07,3 vs 7
25,2018-01-07,4 vs 18
25,2018-01-07,5 vs 20
25,2018-01-07,10 vs 14
25,2018-01-07,16 vs 11
26,2018-01-08,4 vs 16
26,2018-01-08,6 vs 3
26,2018-01-08,8 vs 2
26,2018-01-08,9 vs 10
26,2018-01-08,11 vs 12
26,2018-01-08,13 vs 19
26,2018-01-08,14 vs 5
26,2018-01-08,17 vs 15
26,2018-01-08,18 vs 1
26,2018-01-08,20 vs 7
27,2018-01-11,1 vs 12
27,2018-01-11,2 vs 19
27,2018-01-11,4 vs 3
27,2018-01-11,5 vs 8
27,2018-01-11,6 vs 11
27,2018-01-11,7 vs 10
27,2018-01-11,15 vs 9
27,2018-01-11,16 vs 13
27,2018-01-11,17 vs 20
27,2018-01-11,18 vs 14
28,2018-01-19,3 vs 10
28,2018-01-19,4 vs 17
28,2018-01-19,5 vs 1
28,2018-01-19,7 vs 16
28,2018-01-19,11 vs 14
28,2018-01-19,12 vs 2
28,2018-01-19,15 vs 13
28,2018-01-19,18 vs 6
28,2018-01-19,19 vs 8
28,2018-01-19,20 vs 9
29,2018-01-21,3 vs 16
29,2018-01-21,6 vs 5
29,2018-01-21,8 vs 7
29,2018-01-21,10 vs 17
29,2018-01-21,12 vs 9
29,2018-01-21,13 vs 1
29,2018-01-21,15 vs 11
29,2018-01-21,18 vs 4
29,2018-01-21,19 vs 14
29,2018-01-21,20 vs 2
30,2018-01-22,3 vs 19
30,2018-01-22,9 vs 20
